gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GENE_0001,613.9225379213335,0.5925166008016397,0.08653529260284062,6.847109231155355,7.535717991889026e-12,1.725679420142587e-09
GENE_0003,639.6845736076896,0.554389533280412,0.09254851748696911,5.990258389157561,2.0950790769608282e-09,2.398865543120148e-07
GENE_0002,658.6096188587256,0.5958324291191274,0.10311222512870591,5.77848483412517,7.537633685797076e-09,3.399523118892221e-07
GENE_0018,660.9402094008489,0.5522351992004717,0.09469383882809425,5.831796514269435,5.483376439500614e-09,3.399523118892221e-07
GENE_0012,663.6864720628821,0.598864528812088,0.10326304046977079,5.7994082499188035,6.654933741297983e-09,3.399523118892221e-07
GENE_0020,604.1587441639317,0.6230793227563788,0.1083554402647336,5.750328005996503,8.907047473080056e-09,3.399523118892221e-07
GENE_0006,656.425845981375,0.5388367026449769,0.09735294969836446,5.534878032093458,3.114450051806932e-08,9.723965459400576e-07
GENE_0016,685.8221663903319,0.5272900229089955,0.09552984762289762,5.5196363862157884,3.3970185011006374e-08,9.723965459400576e-07
GENE_0005,669.3869256720938,0.43847270782631326,0.08756814224733953,5.007217197640559,5.52226012945499e-07,1.4051084107168809e-05
GENE_0007,639.8187737425338,0.4319285831873318,0.08785559696501014,4.916346802120691,8.817413919661277e-07,2.0191877876024323e-05
GENE_0017,643.2088882268295,0.4145059842405518,0.0863624163439293,4.799610777329632,1.589742841036681e-06,3.309555550885454e-05
GENE_0015,650.0483396715895,0.3964330424009615,0.09154003786574386,4.330706559051085,1.486316449385209e-05,0.000261820359160933
GENE_0013,636.1398690073149,0.41890858786020063,0.09665055131414915,4.334259682581599,1.462514546078555e-05,0.000261820359160933
GENE_0004,652.3247764107186,0.37470128640612793,0.090337288839011,4.147803096835003,3.356809056448019e-05,0.0005490780528047117
GENE_0014,657.7850528036859,0.4203703247111213,0.10431058611997117,4.029987179130976,5.577989518169962e-05,0.0008515730664406143
GENE_0009,678.3371801581973,0.35853000723184825,0.09146773945112681,3.91974273534352,8.864354176790399e-05,0.001268710691553126
GENE_0019,655.7330064496189,0.36442615678247137,0.09544879612550826,3.818027796843842,0.0001345227715564919,0.001812100863908038
GENE_0010,618.5391493652198,0.395240400035211,0.10852106973317124,3.642061408047467,0.0002704635315038755,0.003440897150799305
GENE_0011,633.3143233992103,0.3396938060502765,0.09392394963828299,3.6166899641517922,0.0002983943510493258,0.0035964371784366106
GENE_0119,513.5166852840368,-0.31907172407073114,0.10626107842153325,-3.00271490568717,0.0026758297238584096,0.03063825033817879
GENE_0115,485.10892342437745,-0.30004438687164164,0.10156813518519167,-2.954119284798952,0.003135627794397786,0.03419327451986157
GENE_0179,511.31238888115695,-0.28909887228763737,0.10329950936795221,-2.798647099647579,0.005131718906343263,0.053416528616027595
GENE_0026,489.4405951833634,-0.2922570303953368,0.11110189432109988,-2.6305314790643757,0.008525147397741697,0.08488081539490647
GENE_0065,471.4483609719005,0.287565012728787,0.11257654944648571,2.554395334931487,0.010637240482928507,0.09799285402297082
GENE_0038,497.0203451165466,-0.25873997561271067,0.10137066464145224,-2.552414710191289,0.010697909827835243,0.09799285402297082
GENE_0039,538.1041643320458,0.25795033541825113,0.10193885778047744,2.5304416886222145,0.01139190187450923,0.10033636651010053
GENE_0173,505.9001617734,-0.24760540204878154,0.10038677935335692,-2.466514053381688,0.013643537453355935,0.11571741025253737
GENE_0180,526.2688630251156,0.24318101704143225,0.10274421506426627,2.3668584833639836,0.01793979103864778,0.1467218624232265
GENE_0113,484.33458572896177,-0.26366400600694023,0.11548381427127681,-2.283125195255339,0.022422994836202987,0.1711621939163495
GENE_0008,646.0417973832751,0.21448866806170905,0.09367604932000262,2.2896852463216484,0.022039569282941512,0.1711621939163495
GENE_0105,509.0464372279788,-0.2825996259171929,0.1246886888146471,-2.266441556196684,0.023424361670525893,0.1730380265338848
GENE_0141,513.0436807573783,-0.25653955809415063,0.11839327532659835,-2.1668423091300038,0.030246880128873842,0.21645423592225344
GENE_0124,537.3060518325441,-0.2203880657276784,0.10256347878156537,-2.1487967095680327,0.03165051835802103,0.21963541527232777
RPL8,532.822615253679,-0.23887419289136802,0.11279530635142192,-2.1177671360467625,0.034194793883641376,0.22433475854697876
GENE_0152,518.9216800647054,-0.19055230776080057,0.09002412344737054,-2.1166805125539523,0.03428697183032427,0.22433475854697876
GENE_0143,543.023550169512,0.2427379574477455,0.11573141668476782,2.097424920572098,0.03595597696525831,0.2287199645845598
GENE_0093,524.1282638090312,-0.21499142957264497,0.10432480017230676,-2.060789277502157,0.03932314787619155,0.2433784017202126
GENE_0142,528.6978560836199,-0.22085976579592023,0.11035663040755224,-2.001327559388817,0.04535710164991449,0.27333621783764256
GENE_0022,512.4925229373252,-0.21151939731358677,0.10778987470311042,-1.9623308580345078,0.04972397681377579,0.2919689920603758
GENE_0091,516.9239638651711,-0.19581796678125055,0.10040628592426128,-1.950256051986232,0.05114560797563787,0.2928086056605268
GENE_0080,505.2345547645866,-0.19234706568193272,0.10147482313792365,-1.8955151606472507,0.05802418514704549,0.3090125208993818
GENE_0050,500.85167238786875,-0.2206051477889566,0.11609534565866053,-1.9002066494342686,0.0574060060134036,0.3090125208993818
GENE_0194,516.1787819243981,-0.21864454090777113,0.11497305824976778,-1.9017024008597487,0.05721007182626316,0.3090125208993818
GENE_0112,520.960276081405,-0.22192345077937442,0.11952196343852324,-1.8567587445425622,0.06334548562442546,0.3170167750505186
GENE_0037,523.3319387948045,-0.2184205049799967,0.11690815639446148,-1.8683085228289886,0.061719079346828236,0.3170167750505186
GENE_0028,529.1364330568651,-0.18859272511343128,0.10169946879307835,-1.8544120962632489,0.06368022555599936,0.3170167750505186
GENE_0083,531.6173597099764,-0.19071947725743604,0.10554305723210379,-1.8070300620344693,0.07075759207279872,0.3447550762695938
GENE_0024,535.0484755316355,-0.17693480401211115,0.0994371711129777,-1.7793628080095203,0.07518029985653997,0.3586726805655761
GENE_0165,511.073643369303,-0.17538843373731874,0.10032936803639235,-1.7481265672250652,0.08044211355204621,0.3702726363863415
GENE_0116,515.424666312286,-0.17962832522082997,0.10399457707437906,-1.7272855015541444,0.08411640171775045,0.3702726363863415
GENE_0031,520.9368701446728,-0.17619276734956246,0.10226578380349613,-1.7228906951724652,0.08490829332180029,0.3702726363863415
MT-ND6,500.67425176517645,-0.19736710377200847,0.11477892642191177,-1.7195412949456748,0.08551585511419989,0.3702726363863415
GENE_0033,520.9427323393813,-0.18900150784456266,0.10997729147064388,-1.718550305405663,0.08569628702391309,0.3702726363863415
GENE_0041,547.5597153114403,-0.17060836285574418,0.10090621138847464,-1.6907617529997843,0.09088231472014134,0.3854083346465253
