gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GENE_010,24.197773356458868,1.7006121543613417,0.05520637674903489,30.80463262590533,2.271626810498592e-208,6.814880431495775e-206
GENE_002,24.203537421921755,1.6162506827174437,0.05390936577726914,29.980888467416083,1.7418813088178176e-197,2.6128219632267265e-195
GENE_012,23.44942399185385,1.6442041295668375,0.05519624070555355,29.78833537482937,5.532273726369171e-195,5.532273726369172e-193
GENE_013,24.05883445275462,1.6110941885310035,0.05472890300620551,29.437721204613357,1.808022881864208e-190,1.356017161398156e-188
GENE_006,23.696964819023226,1.5780634316464768,0.05413378285835033,29.151175999943163,8.072162179877624e-187,4.843297307926574e-185
GENE_009,23.495166539489794,1.6050093666336582,0.055770523278261416,28.778811319836922,3.950577998553102e-182,1.975288999276551e-180
GENE_001,23.719886225896165,1.5661916559884472,0.05448228248878606,28.746806933259673,9.929478766219393e-182,4.255490899808311e-180
GENE_004,23.44123584046306,1.5692918293272022,0.05460194051896915,28.74058713686225,1.1875812832659666e-181,4.453429812247374e-180
GENE_000,23.92860373860993,1.537503424398592,0.053863216306120835,28.544589978817793,3.2786795890309015e-179,1.0928931963436339e-177
GENE_003,23.864541630982355,1.515239647531328,0.05342831296419615,28.360237549456844,6.258907363444112e-177,1.8776722090332336e-175
GENE_008,24.04025577424095,1.511266762505663,0.053424915364243854,28.287677242014336,4.899685625267349e-176,1.3362778978001862e-174
GENE_011,23.976966062230556,1.5646666249402386,0.05543046369144092,28.227557930060044,2.684613385791012e-175,6.71153346447753e-174
GENE_007,24.15194696777836,1.4716129447821331,0.05314255659551959,27.69179804394664,8.765414469408138e-169,2.0227879544788013e-167
GENE_014,23.060240765454854,1.5019158215882424,0.05425686938190727,27.68157910137509,1.1636080050243208e-168,2.4934457250521156e-167
GENE_005,24.070647943373753,1.4775258479352784,0.05387033582348132,27.4274482486379,1.291005113498488e-165,2.5820102269969758e-164
